path	lane	origin
.gitattributes	D	off-surface
.gitignore	D	off-surface
apps/rn/src/analytics/funnel.test.ts	B	fix-churn
apps/rn/src/analytics/funnel.ts	B	fix-churn
apps/rn/src/app/_layout.tsx	C	first-look
apps/rn/src/app/(tabs)/money.tsx	C	fix-churn
apps/rn/src/app/living-expenses.tsx	C	fix-churn
apps/rn/src/app/more.tsx	C	first-look
apps/rn/src/app/paywall.tsx	C	first-look
apps/rn/src/components/entities/DebtSheet.tsx	C	fix-churn
apps/rn/src/components/money/BillBreakdownSheet.tsx	C	fix-churn
apps/rn/src/components/money/BnplCalendarSection.tsx	C	fix-churn
apps/rn/src/components/more/CloudBackupSheet.tsx	C	first-look
apps/rn/src/components/more/CoachMarkProbeReadout.tsx	C	first-look
apps/rn/src/components/more/LegacyBridgeProbeReadout.tsx	C	first-look
apps/rn/src/components/more/LiveActivityQA.tsx	C	first-look
apps/rn/src/components/more/ReduceMotionProbeReadout.tsx	C	first-look
apps/rn/src/components/more/SettingRow.tsx	C	first-look
apps/rn/src/components/onboarding/FirstDebtOrBillStep.tsx	C	first-look
apps/rn/src/components/onboarding/PaycheckStep.tsx	C	first-look
apps/rn/src/components/payoff/TrajectoryChart.tsx	C	first-look
apps/rn/src/components/payoff/trajectoryDomain.test.ts	C	fix-churn
apps/rn/src/components/payoff/trajectoryDomain.ts	C	fix-churn
apps/rn/src/components/payoff/TrajectorySkiaChart.tsx	C	first-look
apps/rn/src/components/payoff/WhatIfControls.tsx	C	fix-churn
apps/rn/src/components/plan/AffordabilityCard.tsx	C	fix-churn
apps/rn/src/components/plan/dataRepairsCopy.ts	C	fix-churn
apps/rn/src/components/plan/PaydayGuardianCard.tsx	C	fix-churn
apps/rn/src/components/plan/ShareCard.tsx	C	fix-churn
apps/rn/src/components/progress/PaidOffArchive.tsx	C	fix-churn
apps/rn/src/components/ui/AddRow.tsx	C	first-look
apps/rn/src/components/ui/AppIcon.ios.tsx	C	first-look
apps/rn/src/components/ui/AppIcon.tsx	C	first-look
apps/rn/src/components/ui/Button.tsx	C	first-look
apps/rn/src/components/ui/Card.tsx	C	first-look
apps/rn/src/components/ui/ChartSkeleton.tsx	C	first-look
apps/rn/src/components/ui/CheckCircle.tsx	C	first-look
apps/rn/src/components/ui/DateField.tsx	C	first-look
apps/rn/src/components/ui/DateField.web.tsx	C	first-look
apps/rn/src/components/ui/EmptyState.tsx	C	first-look
apps/rn/src/components/ui/MasterDetail.tsx	C	first-look
apps/rn/src/components/ui/Pill.tsx	C	first-look
apps/rn/src/components/ui/PressableScale.tsx	C	first-look
apps/rn/src/components/ui/RadioGroup.tsx	C	first-look
apps/rn/src/components/ui/SegmentedToggle.tsx	C	first-look
apps/rn/src/components/ui/Select.tsx	C	first-look
apps/rn/src/components/ui/sheet-styles.ts	C	first-look
apps/rn/src/components/ui/SheetBackdrop.tsx	C	first-look
apps/rn/src/components/ui/SheetScrim.tsx	C	first-look
apps/rn/src/components/ui/SwitchRow.tsx	C	first-look
apps/rn/src/components/ui/TwoColumn.tsx	C	first-look
apps/rn/src/data/migrationAudit/audit.test.ts	D	instrument
apps/rn/src/data/migrationAudit/hostile.test.ts	D	instrument
apps/rn/src/data/readBackup.test.ts	B	off-surface
apps/rn/src/data/readBackup.ts	B	off-surface
apps/rn/src/hooks/spotlight.test.ts	C	first-look
apps/rn/src/hooks/spotlightGeometry.ts	C	first-look
apps/rn/src/hooks/use-cloud-backup.ts	C	fix-churn
apps/rn/src/hooks/use-coach-mark.ts	C	first-look
apps/rn/src/hooks/use-sheet-presentation.ts	C	first-look
apps/rn/src/hooks/use-spotlight.ts	C	first-look
apps/rn/src/keyCommands/keyCommandBus.test.ts	C	first-look
apps/rn/src/keyCommands/keyCommandBus.ts	C	first-look
apps/rn/src/keyCommands/KeyCommandListener.ios.tsx	C	first-look
apps/rn/src/keyCommands/KeyCommandListener.tsx	C	first-look
apps/rn/src/liveActivity/paydayActivityContent.test.ts	C	fix-churn
apps/rn/src/liveActivity/paydayActivityContent.ts	C	fix-churn
apps/rn/src/motion/haptics.ts	C	first-look
apps/rn/src/motion/hooks.ts	C	first-look
apps/rn/src/motion/index.ts	C	first-look
apps/rn/src/motion/Motion.tsx	C	first-look
apps/rn/src/storage/cloudBackup/createCloudBackupProvider.ios.ts	B	fix-churn
apps/rn/src/storage/cloudBackup/provider.ts	B	fix-churn
apps/rn/src/storage/cloudBackup/service.test.ts	B	fix-churn
apps/rn/src/storage/cloudBackup/service.ts	B	fix-churn
apps/rn/src/storage/createAdapter.test.ts	B	first-look
apps/rn/src/storage/createAdapter.web.ts	B	fix-churn
apps/rn/src/store/affordability.test.ts	B	first-look
apps/rn/src/store/bnplCadence.test.ts	B	first-look
apps/rn/src/store/celebrationSelectors.test.ts	B	first-look
apps/rn/src/store/celebrationSelectors.ts	B	fix-churn
apps/rn/src/store/debtFreeBand.test.ts	B	first-look
apps/rn/src/store/debtIds.test.ts	B	first-look
apps/rn/src/store/demoRun.ts	B	off-surface
apps/rn/src/store/expenseReserve.test.ts	B	first-look
apps/rn/src/store/glossary.test.ts	B	first-look
apps/rn/src/store/greeting.test.ts	B	first-look
apps/rn/src/store/guardianSelectors.ts	B	fix-churn
apps/rn/src/store/guardianSubjects.test.ts	B	first-look
apps/rn/src/store/guardianTrust.test.ts	B	first-look
apps/rn/src/store/historySelectors.ts	B	fix-churn
apps/rn/src/store/milestoneCross.test.ts	B	first-look
apps/rn/src/store/obligationForm.ts	B	fix-churn
apps/rn/src/store/onboardingFinish.test.ts	B	first-look
apps/rn/src/store/payday.ts	B	fix-churn
apps/rn/src/store/payoffCelebration.test.ts	B	first-look
apps/rn/src/store/paywallLead.test.ts	B	first-look
apps/rn/src/store/paywallLead.ts	B	fix-churn
apps/rn/src/store/persistenceLifecycle.test.ts	B	first-look
apps/rn/src/store/planSelectors.test.ts	B	first-look
apps/rn/src/store/planSelectors.ts	B	fix-churn
apps/rn/src/store/proofOfWork.test.ts	B	first-look
apps/rn/src/store/realWriteGuard.test.ts	B	first-look
apps/rn/src/store/steadyStateProjection.test.ts	B	first-look
apps/rn/src/store/storeContext.test.ts	B	first-look
apps/rn/src/store/trustSelectors.test.ts	B	fix-churn
apps/rn/src/store/trustSelectors.ts	B	fix-churn
apps/rn/src/store/windfallSplit.test.ts	B	first-look
apps/rn/src/testing/runAppTests.ts	D	instrument
apps/rn/src/theme/colors.ts	C	first-look
apps/rn/src/theme/elevation.ts	C	first-look
apps/rn/src/theme/icons.ts	C	first-look
apps/rn/src/theme/index.ts	C	first-look
apps/rn/src/theme/motion.ts	C	first-look
apps/rn/src/theme/spacing.ts	C	first-look
apps/rn/src/theme/typography.ts	C	first-look
apps/rn/src/types/react-native-ios-context-menu.d.ts	B	first-look
apps/rn/src/utils/scrubBreadcrumb.test.ts	B	first-look
apps/rn/src/utils/scrubBreadcrumb.ts	B	fix-churn
apps/rn/src/utils/skia-ready.web.ts	B	first-look
apps/rn/src/widget/snapshot.ts	C	first-look
apps/rn/src/widget/widgetSync.test.ts	C	fix-churn
apps/rn/tests/e2e/a11y-axe.spec.ts	A	first-look
apps/rn/tests/e2e/a11y-row-labels.spec.ts	A	first-look
apps/rn/tests/e2e/absorb-entry.spec.ts	A	first-look
apps/rn/tests/e2e/ack-coordinator.spec.ts	A	first-look
apps/rn/tests/e2e/amount-guards.spec.ts	A	fix-churn
apps/rn/tests/e2e/analytics-optout.spec.ts	A	first-look
apps/rn/tests/e2e/blur-glass.spec.ts	A	first-look
apps/rn/tests/e2e/bnpl.spec.ts	A	first-look
apps/rn/tests/e2e/celebration.spec.ts	A	first-look
apps/rn/tests/e2e/data-recovery.spec.ts	A	off-surface
apps/rn/tests/e2e/earlyjourney.spec.ts	A	first-look
apps/rn/tests/e2e/enh-audit-screens.spec.ts	A	first-look
apps/rn/tests/e2e/greeting.spec.ts	A	first-look
apps/rn/tests/e2e/hero-date-fit.spec.ts	A	first-look
apps/rn/tests/e2e/ipad-layouts.spec.ts	A	first-look
apps/rn/tests/e2e/money-add-chooser.spec.ts	A	first-look
apps/rn/tests/e2e/on-plan-streak.spec.ts	A	fix-churn
apps/rn/tests/e2e/payday-reopen.spec.ts	A	first-look
apps/rn/tests/e2e/payoff-schedule.spec.ts	A	first-look
apps/rn/tests/e2e/premium-entry.spec.ts	A	first-look
apps/rn/tests/e2e/proofofwork.spec.ts	A	first-look
apps/rn/tests/e2e/saveforit-pace.spec.ts	A	first-look
apps/rn/tests/e2e/sheet-remove.spec.ts	A	first-look
apps/rn/tests/e2e/spoken-state.spec.ts	A	first-look
apps/rn/tests/e2e/strategy-compare.spec.ts	A	first-look
apps/rn/tests/e2e/swipe-delete.spec.ts	A	first-look
apps/rn/tests/e2e/trajectory-domain.spec.ts	A	first-look
apps/rn/tests/e2e/trajectory-interactivity.spec.ts	A	first-look
apps/rn/tests/e2e/trust-claims.spec.ts	A	first-look
apps/rn/tests/e2e/variable-income.spec.ts	A	first-look
apps/rn/tests/e2e/vis5-cone.spec.ts	A	first-look
package.json	D	off-surface
packages/core/debt/applyRolloverPayment.ts	A	fix-churn
packages/core/debt/bnplInstallment.ts	A	fix-churn
packages/core/debt/bulkMarkRequired.ts	A	fix-churn
packages/core/debt/getDebtsWithDisplayBalances.ts	A	fix-churn
packages/core/debt/projectDebtPayoff.ts	A	fix-churn
packages/core/debt/testApplyPaydayCapture.ts	A	first-look
packages/core/debt/testBnplInstallment.ts	A	fix-churn
packages/core/debt/testBnplSchedule.ts	A	first-look
packages/core/debt/testBulkMarkRequired.ts	A	first-look
packages/core/debt/testComputeDrift.ts	A	first-look
packages/core/debt/testComputeMilestones.ts	A	first-look
packages/core/debt/testDebtProjection.ts	A	fix-churn
packages/core/debt/testDeriveRequiredActionView.ts	A	first-look
packages/core/debt/testGetDebtsWithDisplayBalances.ts	A	first-look
packages/core/debt/testGoalReconciliation.ts	A	first-look
packages/core/debt/testOriginalBalanceHighWater.ts	A	first-look
packages/core/debt/testParseDebtFormValues.ts	A	first-look
packages/core/debt/testPaydayCapture.ts	A	first-look
packages/core/debt/testReconcileAutopay.ts	A	first-look
packages/core/debt/testSelectActiveRecommendedActions.ts	A	first-look
packages/core/debt/testShouldPromptPaydayCapture.ts	A	first-look
packages/core/forecast/projectForecast.ts	A	fix-churn
packages/core/history/buildCycleSnapshot.ts	A	fix-churn
packages/core/insights/buildSmartInsights.ts	A	fix-churn
packages/core/obligations/testClassifyDeferability.ts	A	first-look
packages/core/obligations/testEffectiveObligationAmount.ts	A	first-look
packages/core/recovery/testBuildRecoveryPlan.ts	A	first-look
packages/core/testing/testPayCycleHistoryRegression.ts	D	instrument
packages/core/utils/amountField.ts	A	fix-churn
packages/core/utils/testAmountField.ts	A	fix-churn
scripts/__fixtures__/crlf-source.ts.txt	D	off-surface
scripts/audit-route.ts	D	instrument
scripts/check-apostrophes.ts	D	instrument
scripts/check-audit-closure.ts	D	instrument
scripts/check-ci-chain.ts	D	instrument
scripts/check-committed-secrets.ts	D	instrument
scripts/check-control-chars.ts	D	instrument
scripts/check-copy-owners.ts	D	instrument
scripts/check-finding-guards.ts	D	instrument
scripts/check-gate-sources.ts	D	instrument
scripts/check-glossary.ts	D	instrument
scripts/check-local-dates.ts	D	instrument
scripts/check-money-format.ts	D	instrument
scripts/check-month-arithmetic.ts	D	instrument
scripts/check-native-a11y-props.ts	D	instrument
scripts/check-press-opacity.ts	D	instrument
scripts/check-scan-floors.ts	D	instrument
scripts/check-trust-claims.ts	D	instrument
scripts/check-webkit-flex-controls.ts	D	instrument
scripts/finding-guards.json	D	instrument
scripts/gate-scan-floors.json	D	instrument
scripts/lib/scanFloor.ts	D	instrument
scripts/lib/stripMarkdown.ts	D	instrument
scripts/run-gates.ts	D	instrument
scripts/strings-inventory.ts	D	instrument
scripts/surface-coverage.s0.json	D	off-surface
scripts/surface-coverage.s1.json	D	off-surface
scripts/surface-coverage.ts	D	instrument
scripts/test-closure-stripper.ts	D	instrument
scripts/test-gate-plants.ts	D	instrument
scripts/test-line-endings.ts	D	instrument
scripts/test-strip-code.ts	D	instrument
scripts/tsconfig.json	D	off-surface
