path	lane	origin
.gitignore	D	off-surface
app/page.tsx	D	neighbour
apps/rn/app.json	D	s0-first-look
apps/rn/eslint.config.mjs	D	s0-first-look
apps/rn/m.default())	D	off-surface
apps/rn/modules/live-activity/ios/PaydayLandedIntent.swift	D	off-surface
apps/rn/plugins/app-intents-swift/LogPaymentIntent.swift	D	off-surface
apps/rn/plugins/app-intents-swift/SiriQueryIntents.swift	D	off-surface
apps/rn/src/analytics/funnel.test.ts	B	stale-read
apps/rn/src/analytics/funnel.ts	B	stale-read
apps/rn/src/app/_layout.tsx	C	stale-read
apps/rn/src/app/(tabs)/_layout.tsx	C	stale-read
apps/rn/src/app/(tabs)/index.tsx	C	fix-churn
apps/rn/src/app/(tabs)/money.tsx	C	fix-churn
apps/rn/src/app/(tabs)/progress.tsx	C	fix-churn
apps/rn/src/app/+not-found.tsx	C	stale-read
apps/rn/src/app/cushion-forecast.tsx	C	stale-read
apps/rn/src/app/demo.tsx	C	stale-read
apps/rn/src/app/history.tsx	C	stale-read
apps/rn/src/app/living-expenses.tsx	C	stale-read
apps/rn/src/app/more.tsx	C	fix-churn
apps/rn/src/app/onboarding.tsx	C	stale-read
apps/rn/src/app/paywall.tsx	C	fix-churn
apps/rn/src/app/schedule/[id].tsx	C	stale-read
apps/rn/src/app/tutorial.tsx	C	stale-read
apps/rn/src/appIntents/drainPendingActions.ts	C	stale-read
apps/rn/src/appIntents/pendingActionBridge.native.ts	C	stale-read
apps/rn/src/appIntents/pendingActions.test.ts	C	stale-read
apps/rn/src/appIntents/pendingActions.ts	C	stale-read
apps/rn/src/appIntents/siriClaims.test.ts	C	first-look
apps/rn/src/components/AppLockGate.tsx	C	stale-read
apps/rn/src/components/DataResetScreen.tsx	C	stale-read
apps/rn/src/components/entities/AddObligationSheet.tsx	C	stale-read
apps/rn/src/components/entities/AmortizationView.tsx	C	fix-churn
apps/rn/src/components/entities/debtPrefill.test.ts	C	first-look
apps/rn/src/components/entities/DebtSheet.tsx	C	fix-churn
apps/rn/src/components/entities/ExpenseSheet.tsx	C	stale-read
apps/rn/src/components/entities/GoalSheet.tsx	C	stale-read
apps/rn/src/components/entities/ImportDebtsSheet.tsx	C	stale-read
apps/rn/src/components/entities/LivingExpenseSheet.tsx	C	stale-read
apps/rn/src/components/entities/LogPaymentSheet.tsx	C	stale-read
apps/rn/src/components/money/AllocationBarCanvas.tsx	C	stale-read
apps/rn/src/components/money/AllocationBarCanvas.web.tsx	C	stale-read
apps/rn/src/components/money/AllocationBarChart.tsx	C	stale-read
apps/rn/src/components/money/BillBreakdownSheet.tsx	C	stale-read
apps/rn/src/components/money/BnplCalendarSection.tsx	C	fix-churn
apps/rn/src/components/more-button.tsx	C	stale-read
apps/rn/src/components/more/BackupSheets.tsx	C	stale-read
apps/rn/src/components/more/CloudBackupSheet.tsx	C	fix-churn
apps/rn/src/components/more/CoachMarkProbeReadout.tsx	C	stale-read
apps/rn/src/components/more/LegacyBridgeProbeReadout.tsx	C	stale-read
apps/rn/src/components/more/LiveActivityQA.tsx	C	stale-read
apps/rn/src/components/more/ReduceMotionProbeReadout.tsx	C	stale-read
apps/rn/src/components/more/SettingRow.tsx	C	stale-read
apps/rn/src/components/onboarding/CompletionStep.tsx	C	stale-read
apps/rn/src/components/onboarding/FirstDebtOrBillStep.tsx	C	stale-read
apps/rn/src/components/onboarding/OnboardingLayout.tsx	C	neighbour
apps/rn/src/components/onboarding/PaycheckStep.tsx	C	stale-read
apps/rn/src/components/onboarding/WelcomeStep.tsx	C	stale-read
apps/rn/src/components/payday/PaydayCaptureSheet.tsx	C	fix-churn
apps/rn/src/components/payoff/compareStrategies.test.ts	C	fix-churn
apps/rn/src/components/payoff/compareStrategies.ts	C	fix-churn
apps/rn/src/components/payoff/monthLabels.test.ts	C	stale-read
apps/rn/src/components/payoff/monthLabels.ts	C	stale-read
apps/rn/src/components/payoff/StrategyCompare.tsx	C	stale-read
apps/rn/src/components/payoff/TrajectoryCanvas.tsx	C	stale-read
apps/rn/src/components/payoff/TrajectoryCanvas.web.tsx	C	stale-read
apps/rn/src/components/payoff/TrajectoryChart.tsx	C	fix-churn
apps/rn/src/components/payoff/trajectoryDomain.test.ts	C	stale-read
apps/rn/src/components/payoff/trajectoryDomain.ts	C	stale-read
apps/rn/src/components/payoff/TrajectorySkiaChart.tsx	C	stale-read
apps/rn/src/components/payoff/WhatIfControls.tsx	C	stale-read
apps/rn/src/components/payoff/whereText.test.ts	C	stale-read
apps/rn/src/components/payoff/whereText.ts	C	stale-read
apps/rn/src/components/plan/AffordabilityCard.tsx	C	fix-churn
apps/rn/src/components/plan/AffordabilityImpactBar.tsx	C	stale-read
apps/rn/src/components/plan/AppStoreCta.tsx	C	neighbour
apps/rn/src/components/plan/CaptureSlate.tsx	C	stale-read
apps/rn/src/components/plan/CashRunwayCanvas.tsx	C	stale-read
apps/rn/src/components/plan/CashRunwayCanvas.web.tsx	C	stale-read
apps/rn/src/components/plan/CashRunwayChart.tsx	C	fix-churn
apps/rn/src/components/plan/cashRunwayReceipt.test.ts	C	first-look
apps/rn/src/components/plan/CashRunwaySkiaChart.tsx	C	stale-read
apps/rn/src/components/plan/CoachMarkLayer.tsx	C	neighbour
apps/rn/src/components/plan/CushionBarCanvas.tsx	C	stale-read
apps/rn/src/components/plan/CushionBarCanvas.web.tsx	C	stale-read
apps/rn/src/components/plan/CushionBarChart.tsx	C	fix-churn
apps/rn/src/components/plan/CushionFloorSheet.tsx	C	stale-read
apps/rn/src/components/plan/DataRepairsCard.tsx	C	stale-read
apps/rn/src/components/plan/dataRepairsCopy.test.ts	C	fix-churn
